72357,35.216667,-97.45,3192.0,10.2,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72340,34.833333,-92.25,3215.0,9.4,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72327,36.116667,-86.683333,3211.0,8.8,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72318,37.2,-80.416667,3190.0,10.0,1341446400000,Thu Jul 05 00:00:00 UTC 2012
72317,36.1,-79.95,3190.0,8.4,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72305,34.783333,-76.883333,3186.0,7.4,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72293,32.866667,-117.15,3133.0,10.4,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72291,33.233333,-119.466667,3139.0,12.0,1340114400000,Tue Jun 19 14:00:00 UTC 2012
72274,32.133333,-110.95,3158.0,10.0,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72273,47.633333,-110.333333,NaN,NaN,0,Thu Jan 01 00:00:00 UTC 1970
72265,31.933333,-102.2,3169.0,10.4,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72261,29.366667,-100.916667,3176.0,10.0,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72257,31.133333,-97.7,NaN,NaN,0,Thu Jan 01 00:00:00 UTC 1970
72251,27.766667,-97.516667,3186.0,10.0,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72250,25.9,-97.416667,3182.0,9.6,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72249,32.833333,-97.3,3195.0,9.4,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72248,32.45,-93.833333,3210.0,8.8,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72240,30.2,-93.383333,3197.0,8.8,1341446400000,Thu Jul 05 00:00:00 UTC 2012
72235,32.319722,-90.0775,3205.0,8.4,1341446400000,Thu Jul 05 00:00:00 UTC 2012
72233,30.333333,-89.816667,3203.0,7.4,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72230,33.166666,-86.766667,3208.0,8.2,1341446400000,Thu Jul 05 00:00:00 UTC 2012
72221,30.483333,-86.516667,3208.0,8.6,1339671600000,Thu Jun 14 11:00:00 UTC 2012
72215,33.366667,-84.566667,3200.0,8.0,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72214,30.4,-84.35,3195.0,7.0,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72210,27.7,-82.4,3199.0,7.2,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72208,32.9,-80.033333,3198.0,7.6,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72206,30.5,-81.7,3199.0,6.8,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72202,25.783333,-80.316667,3196.0,7.4,1341489600000,Thu Jul 05 12:00:00 UTC 2012
72201,24.55,-81.766667,3189.0,7.2,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71964,60.716667,-135.066667,3003.0,4.9,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71957,68.3,-133.483331,3012.0,1.9,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71896,53.883333,-122.683333,NaN,NaN,0,Thu Jan 01 00:00:00 UTC 1970
71867,53.966667,-101.1,2964.0,0.2,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71845,51.45,-90.2,3094.0,9.8,1341446400000,Thu Jul 05 00:00:00 UTC 2012
71836,51.266667,-80.65,3091.0,8.2,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71823,53.75,-73.666667,3018.0,3.6,1341446400000,Thu Jul 05 00:00:00 UTC 2012
71816,53.316667,-60.416667,3042.0,0.2,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71811,50.216667,-66.266667,3039.0,1.8,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71722,46.383333,-75.966667,3103.0,8.6,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71603,43.833333,-66.083332,3041.0,4.2,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71203,49.966667,-119.383333,3068.0,1.5,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71119,53.533333,-114.1,3028.0,1.1,1341446400000,Thu Jul 05 00:00:00 UTC 2012
71109,50.683333,-127.366667,3046.0,2.1,1341489600000,Thu Jul 05 12:00:00 UTC 2012
71043,65.283333,-126.8,3007.0,3.3,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70414,52.716667,-174.116667,3068.0,2.7,1340107200000,Tue Jun 19 12:00:00 UTC 2012
70398,55.033333,-131.583333,3033.0,2.5,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70361,59.5,-139.666667,3005.0,7.3,1341446400000,Thu Jul 05 00:00:00 UTC 2012
70350,57.75,-152.483333,2874.0,10.9,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70326,58.683333,-156.65,2884.0,10.1,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70316,55.216667,-162.733333,2900.0,10.7,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70308,57.166667,-170.216667,2953.0,4.7,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70273,61.166667,-150.033333,2949.0,8.5,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70261,64.803889,-147.876111,2983.0,5.9,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70231,62.95,-155.6,3007.0,5.7,1340020800000,Mon Jun 18 12:00:00 UTC 2012
70219,60.783333,-161.833333,2922.0,8.5,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70200,64.516667,-165.433333,2918.0,6.3,1341446400000,Thu Jul 05 00:00:00 UTC 2012
70133,66.883331,-162.6,2900.0,10.7,1341489600000,Thu Jul 05 12:00:00 UTC 2012
70026,71.283333,-156.766667,3044.0,0.7,1341489600000,Thu Jul 05 12:00:00 UTC 2012
